,Mutant,killed atleast by one metric,Metrics killed it,Killed by model-level data
0,udacity_add_weights_regularisation_mutated0_MP_l1_3,Yes,"['Mean(LP)', 'Std(Speed)', 'Max(LP)', 'Max(Acc)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Mean(TPP)']",False
1,udacity_change_activation_function_mutated0_MP_exponential_4,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Std(SAS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Std(Acc)', 'Std(TPP)']",False
2,udacity_change_activation_function_mutated0_MP_hard_sigmoid_4,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(LS)', 'Std(LS)', 'Std(LP)', 'Max(Speed)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
3,udacity_change_activation_function_mutated0_MP_relu_4,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Mean(SA)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Std(TPP)']",False
4,udacity_change_activation_function_mutated0_MP_softmax_4,Yes,"['Std(Speed)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Mean(Acc)', 'Mean(TPP)']",False
5,udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6,Yes,"['Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
6,udacity_change_epochs_mutated0_MP_50_1,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",True
7,udacity_change_epochs_mutated0_MP_50_14,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(SAS)', 'Mean(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",Missing model-level data
8,udacity_change_epochs_mutated0_MP_50_20,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",Missing model-level data
9,udacity_change_epochs_mutated0_MP_50_23,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",Missing model-level data
10,udacity_change_epochs_mutated0_MP_50_26,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)']",True
11,udacity_change_epochs_mutated0_MP_50_38,Yes,"['Mean(LP)', 'Std(Speed)', 'Max(LP)', 'Max(Acc)', 'Std(LS)', 'Std(LP)', 'Mean(Acc)', 'Std(Acc)']",True
12,udacity_change_epochs_mutated0_MP_50_44,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",True
