,mutation
0,udacity_add_weights_regularisation_mutated0_MP_l1_l2_3
1,udacity_add_weights_regularisation_mutated0_MP_l2_3
2,udacity_change_activation_function_mutated0_MP_selu_4
3,udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6
4,udacity_change_epochs_mutated0_MP_50_47
5,udacity_change_weights_initialisation_mutated0_MP_he_uniform_3
6,udacity_change_weights_initialisation_mutated0_MP_lecun_normal_3
7,udacity_change_weights_initialisation_mutated0_MP_ones_4
8,udacity_make_output_classes_overlap_mutated0_MP_3.12
9,udacity_remove_activation_function_mutated0_MP_4
