,mutation,Mean(LP),Std(Speed),Std(SA),Max(LP),Max(Acc),Max(SA),Mean(SA),Mean(SAS),Std(SAS),Mean(LS),Std(LS),Min(LP),Std(LP),Max(Speed),Mean(Acc),Min(Acc),Std(Acc),Mean(TPP),Std(TPP)
0,GF_0.05,"('killed: True', 'Sector number: 2', ' p_value: 0.001', ' effect_size: -1.0578544500024307')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 4.187780719172784')",Not killed by this metric,"('killed: True', 'Sector number: 2', ' p_value: 0.005', ' effect_size: -0.8861905889937631')",Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 15', ' p_value: 0.026', ' effect_size: -0.7024890295458588')","('killed: True', 'Sector number: 5', ' p_value: 0.021', ' effect_size: 0.7292232852764354')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -1.7282903309909543')",Not killed by this metric,"('killed: True', 'Sector number: 15', ' p_value: 0.043', ' effect_size: -0.6392054500426892')","('killed: True', 'Sector number: 1', ' p_value: 0.012', ' effect_size: -0.793079064811097')",Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 13', ' p_value: 0.007', ' effect_size: 0.8507328513577556')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 5.943809602533028')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -2.7082332059977996')","('killed: True', 'Sector number: 0', ' p_value: 0.031', ' effect_size: 0.6822444338320124')","('killed: True', 'Sector number: 16', ' p_value: 0.022', ' effect_size: -0.7263259851855509')"
1,LA_0.01,"('killed: True', 'Sector number: 0', ' p_value: 0.045', ' effect_size: -0.6351247133196252')",Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 5', ' p_value: 0.038', ' effect_size: -0.6547693563741788')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.025', ' effect_size: -0.7110811011136204')","('killed: True', 'Sector number: 0', ' p_value: 0.031', ' effect_size: -0.6819850870900651')","('killed: True', 'Sector number: 0', ' p_value: 0.034', ' effect_size: 0.6704609593887294')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -1.131473436177403')","('killed: True', 'Sector number: 0', ' p_value: 0.041', ' effect_size: -0.6454695676704667')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.013', ' effect_size: -0.7881200164061479')","('killed: True', 'Sector number: 14', ' p_value: 0.042', ' effect_size: -0.6439102818192641')","('killed: True', 'Sector number: 1', ' p_value: 0.018', ' effect_size: 0.7470142850697612')","('killed: True', 'Sector number: 19', ' p_value: 0.037', ' effect_size: 0.6583518629509933')","('killed: True', 'Sector number: 0', ' p_value: 0.034', ' effect_size: 0.6699657999460885')","('killed: True', 'Sector number: 0', ' p_value: 0.018', ' effect_size: -0.7509615646949703')","('killed: True', 'Sector number: 0', ' p_value: 0.013', ' effect_size: 0.7854854083721274')","('killed: True', 'Sector number: 3', ' p_value: 0.039', ' effect_size: -0.6515065967055909')"
2,NAI_0.01,"('killed: True', 'Sector number: 6', ' p_value: 0.041', ' effect_size: -0.6453699967667774')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 7.531453310054906')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.022', ' effect_size: -0.7265588451488697')",Not killed by this metric,Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.047', ' effect_size: 0.6273309258143991')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -1.9358325544694974')","('killed: True', 'Sector number: 21', ' p_value: 0.013', ' effect_size: -0.7857829724646512')","('killed: True', 'Sector number: 0', ' p_value: 0.007', ' effect_size: -0.8524818270300246')","('killed: True', 'Sector number: 1', ' p_value: 0.039', ' effect_size: -0.6535615432126451')","('killed: True', 'Sector number: 0', ' p_value: 0.049', ' effect_size: -0.6215653649729315')","('killed: True', 'Sector number: 0', ' p_value: 0.009', ' effect_size: 0.8229578290615697')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 3.1732932021900226')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -2.9891934642693383')",Not killed by this metric,Not killed by this metric
3,NEB_0.03,"('killed: True', 'Sector number: 0', ' p_value: 0.028', ' effect_size: -0.6963351075241481')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 7.060531189722701')","('killed: True', 'Sector number: 0', ' p_value: 0.008', ' effect_size: -0.8449919217904189')","('killed: True', 'Sector number: 0', ' p_value: 0.004', ' effect_size: -0.9166148636237679')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.007', ' effect_size: -0.8462150548131606')","('killed: True', 'Sector number: 14', ' p_value: 0.028', ' effect_size: -0.6967185068899379')","('killed: True', 'Sector number: 3', ' p_value: 0.047', ' effect_size: 0.6270330165895279')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -1.3944393992590078')","('killed: True', 'Sector number: 5', ' p_value: 0.012', ' effect_size: -0.7945688571968686')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -1.1782664539754195')","('killed: True', 'Sector number: 1', ' p_value: 0.006', ' effect_size: -0.8691019933791901')","('killed: True', 'Sector number: 0', ' p_value: 0.005', ' effect_size: -0.8819068950749498')","('killed: True', 'Sector number: 0', ' p_value: 0.003', ' effect_size: 0.938159645499577')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 4.430586722584897')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -4.268545145185232')","('killed: True', 'Sector number: 0', ' p_value: 0.001', ' effect_size: 1.070183024889341')","('killed: True', 'Sector number: 14', ' p_value: 0.049', ' effect_size: -0.6236456391607189')"
4,NS_0.03,"('killed: True', 'Sector number: 2', ' p_value: 0.0', ' effect_size: -1.2829961486695405')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 1.2713637340253774')","('killed: True', 'Sector number: 0', ' p_value: 0.004', ' effect_size: -0.9093789596921285')","('killed: True', 'Sector number: 2', ' p_value: 0.001', ' effect_size: -1.0662718576960237')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.018', ' effect_size: -0.7458449885950881')",Not killed by this metric,"('killed: True', 'Sector number: 9', ' p_value: 0.001', ' effect_size: 1.038427921770709')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -1.8034589932028395')","('killed: True', 'Sector number: 21', ' p_value: 0.014', ' effect_size: -0.7748046187260098')","('killed: True', 'Sector number: 7', ' p_value: 0.041', ' effect_size: -0.6450112852059701')","('killed: True', 'Sector number: 1', ' p_value: 0.004', ' effect_size: -0.9036636847074584')","('killed: True', 'Sector number: 3', ' p_value: 0.025', ' effect_size: -0.7075078093631987')","('killed: True', 'Sector number: 0', ' p_value: 0.034', ' effect_size: 0.6694461812998543')","('killed: True', 'Sector number: 0', ' p_value: 0.036', ' effect_size: 0.6638744800347118')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 2.484470380042557')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -1.839205863324218')","('killed: True', 'Sector number: 0', ' p_value: 0.033', ' effect_size: 0.6732855412818906')","('killed: True', 'Sector number: 2', ' p_value: 0.04', ' effect_size: -0.6492278080760598')"
5,LD_0.03,Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 7.143879347882049')",Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 2', ' p_value: 0.017', ' effect_size: 0.7567213174530998')","('killed: True', 'Sector number: 20', ' p_value: 0.042', ' effect_size: -0.641648880886456')","('killed: True', 'Sector number: 20', ' p_value: 0.006', ' effect_size: -0.870191884907886')","('killed: True', 'Sector number: 9', ' p_value: 0.0', ' effect_size: 1.1380403352262796')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -2.6381029756501975')","('killed: True', 'Sector number: 9', ' p_value: 0.029', ' effect_size: -0.6891872142236459')","('killed: True', 'Sector number: 0', ' p_value: 0.001', ' effect_size: -1.0491663017140287')",Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.002', ' effect_size: 0.975843088705919')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 3.757458451568142')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -3.738030879669946')","('killed: True', 'Sector number: 0', ' p_value: 0.009', ' effect_size: 0.8230320249843158')",Not killed by this metric
6,LD_0.05,Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 4.785996625635519')",Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 25', ' p_value: 0.0', ' effect_size: 1.1575383967078308')",Not killed by this metric,"('killed: True', 'Sector number: 20', ' p_value: 0.0', ' effect_size: -1.1007510646877354')","('killed: True', 'Sector number: 5', ' p_value: 0.017', ' effect_size: 0.7573787060917712')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -2.5847177665571035')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -1.4684962090291755')",Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.046', ' effect_size: 0.6300502150824341')","('killed: True', 'Sector number: 6', ' p_value: 0.038', ' effect_size: 0.6547571546367047')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 4.024109420192366')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -3.866738700279771')","('killed: True', 'Sector number: 0', ' p_value: 0.001', ' effect_size: 1.051502033342242')",Not killed by this metric
7,LR_0.01,Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 6.706119725122469')",Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 25', ' p_value: 0.0', ' effect_size: 1.137017357333049')",Not killed by this metric,"('killed: True', 'Sector number: 14', ' p_value: 0.027', ' effect_size: -0.7016041746924302')","('killed: True', 'Sector number: 9', ' p_value: 0.003', ' effect_size: 0.9455166265175711')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -2.4416610217509365')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.002', ' effect_size: -1.0020873736184073')",Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 1', ' p_value: 0.0', ' effect_size: 2.2226413775802567')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 2.8923166485943272')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -3.608682386070125')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 1.2062654674241693')",Not killed by this metric
8,LR_0.03,Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 6.166717123604772')",Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 2', ' p_value: 0.003', ' effect_size: 0.9274082059878066')",Not killed by this metric,"('killed: True', 'Sector number: 20', ' p_value: 0.001', ' effect_size: -1.0780140309187938')","('killed: True', 'Sector number: 9', ' p_value: 0.004', ' effect_size: 0.8983676003700667')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -2.6766484485322133')","('killed: True', 'Sector number: 9', ' p_value: 0.043', ' effect_size: -0.6407271254889448')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -1.2489252511494362')",Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.005', ' effect_size: 0.8896035793916185')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 4.603200142572615')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -5.041768607244761')","('killed: True', 'Sector number: 0', ' p_value: 0.001', ' effect_size: 1.0784191988326284')",Not killed by this metric
9,LR_0.05,Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 6.853296681259566')",Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 25', ' p_value: 0.0', ' effect_size: 1.1713197689347732')",Not killed by this metric,"('killed: True', 'Sector number: 14', ' p_value: 0.026', ' effect_size: -0.7042363956379244')","('killed: True', 'Sector number: 9', ' p_value: 0.0', ' effect_size: 1.1202571018999277')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -3.0841910633768053')","('killed: True', 'Sector number: 9', ' p_value: 0.034', ' effect_size: -0.6708493562020801')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -1.4917672808154079')",Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.028', ' effect_size: 0.6953391649259784')","('killed: True', 'Sector number: 6', ' p_value: 0.043', ' effect_size: 0.6404671734606434')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 5.691756868685755')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -4.501480178382748')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 1.1643179030068362')",Not killed by this metric
