,mutation,#crashes,#OBEs
0,udacity_add_weights_regularisation_mutated0_MP_l1_3,1,1
1,udacity_change_activation_function_mutated0_MP_exponential_4,1,1
2,udacity_change_activation_function_mutated0_MP_hard_sigmoid_4,2,2
3,udacity_change_activation_function_mutated0_MP_relu_4,1,3
4,udacity_change_activation_function_mutated0_MP_softmax_4,1,2
5,udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6,1,2
6,udacity_change_epochs_mutated0_MP_50_14,8,11
7,udacity_change_epochs_mutated0_MP_50_20,2,4
8,udacity_change_epochs_mutated0_MP_50_23,4,6
9,udacity_change_epochs_mutated0_MP_50_26,1,3
10,udacity_change_epochs_mutated0_MP_50_38,2,3
11,udacity_change_epochs_mutated0_MP_50_44,1,2
12,udacity_change_label_mutated0_MP_12.5,2,3
13,udacity_change_label_mutated0_MP_15.62,1,1
14,udacity_change_label_mutated0_MP_25.0,2,4
15,udacity_change_label_mutated0_MP_37.5,2,4
16,udacity_change_label_mutated0_MP_43.75,2,2
17,udacity_change_label_mutated0_MP_50.0,2,4
18,udacity_change_learning_rate_mutated0_MP_False_1e-05,5,10
19,udacity_change_learning_rate_mutated0_MP_False_4e-05,4,6
20,udacity_change_learning_rate_mutated0_MP_False_6e-05,3,3
21,udacity_change_learning_rate_mutated0_MP_False_8e-05,1,1
22,udacity_change_loss_function_mutated0_MP_hinge,2,0
23,udacity_change_loss_function_mutated0_MP_logcosh,1,1
24,udacity_change_loss_function_mutated0_MP_mean_absolute_error,1,4
25,udacity_change_loss_function_mutated0_MP_mean_squared_logarithmic_error,11,2
26,udacity_change_loss_function_mutated0_MP_squared_hinge,8,3
27,udacity_change_optimisation_function_mutated0_MP_adagrad,17,18
28,udacity_change_optimisation_function_mutated0_MP_nadam,12,12
29,udacity_change_optimisation_function_mutated0_MP_rmsprop,15,15
30,udacity_change_weights_initialisation_mutated0_MP_glorot_uniform_3,1,2
31,udacity_change_weights_initialisation_mutated0_MP_identity_4,1,1
32,udacity_change_weights_initialisation_mutated0_MP_lecun_uniform_4,1,1
33,udacity_change_weights_initialisation_mutated0_MP_random_normal_4,2,2
34,udacity_change_weights_initialisation_mutated0_MP_variance_scaling_4,1,2
35,udacity_change_weights_initialisation_mutated0_MP_zeros_5,1,1
36,udacity_delete_training_data_mutated0_MP_12.38,1,2
37,udacity_delete_training_data_mutated0_MP_15.48,1,1
38,udacity_delete_training_data_mutated0_MP_18.57,2,3
39,udacity_delete_training_data_mutated0_MP_24.75,4,5
40,udacity_delete_training_data_mutated0_MP_30.93,2,4
41,udacity_delete_training_data_mutated0_MP_49.5,1,2
42,udacity_delete_training_data_mutated0_MP_6.19,1,1
43,udacity_delete_training_data_mutated0_MP_9.29,1,2
44,udacity_make_output_classes_overlap_mutated0_MP_12.5,1,1
45,udacity_remove_activation_function_mutated0_MP_1,1,1
46,udacity_remove_activation_function_mutated0_MP_2,1,1
47,udacity_remove_activation_function_mutated0_MP_3,1,2
48,udacity_remove_bias_mutated0_MP_3,1,1
49,udacity_remove_validation_set_mutated0_MP,1,1
50,udacity_unbalance_train_data_mutated0_MP_25.0,1,1
51,udacity_unbalance_train_data_mutated0_MP_43.75,4,5
52,udacity_unbalance_train_data_mutated0_MP_46.88,1,5
53,udacity_unbalance_train_data_mutated0_MP_50.0,5,7
54,udacity_change_activation_function_mutated0_MP_sigmoid_4,0,1
55,udacity_change_activation_function_mutated0_MP_softplus_4,0,1
56,udacity_change_activation_function_mutated0_MP_softsign_4,0,1
57,udacity_change_activation_function_mutated0_MP_tanh_4,0,1
58,udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6,0,1
59,udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6,0,2
60,udacity_change_label_mutated0_MP_100,0,3
61,udacity_change_label_mutated0_MP_18.75,0,1
62,udacity_change_label_mutated0_MP_46.88,0,2
63,udacity_change_learning_rate_mutated0_MP_False_7e-05,0,2
64,udacity_change_weights_initialisation_mutated0_MP_constant_4,0,4
65,udacity_change_weights_initialisation_mutated0_MP_glorot_normal_3,0,2
66,udacity_change_weights_initialisation_mutated0_MP_he_normal_3,0,1
67,udacity_change_weights_initialisation_mutated0_MP_orthogonal_4,0,1
68,udacity_change_weights_initialisation_mutated0_MP_random_uniform_4,0,1
69,udacity_change_weights_initialisation_mutated0_MP_truncated_normal_4,0,1
70,udacity_delete_training_data_mutated0_MP_34.02,0,1
71,udacity_delete_training_data_mutated0_MP_37.12,0,2
72,udacity_make_output_classes_overlap_mutated0_MP_100,0,1
73,udacity_make_output_classes_overlap_mutated0_MP_25.0,0,1
74,udacity_make_output_classes_overlap_mutated0_MP_50.0,0,1
75,udacity_make_output_classes_overlap_mutated0_MP_6.25,0,1
76,udacity_make_output_classes_overlap_mutated0_MP_9.38,0,1
77,udacity_unbalance_train_data_mutated0_MP_37.5,0,2
