,mutants
0,udacity_change_learning_rate_mutated0_MP_False_8e-05
1,udacity_change_loss_function_mutated0_MP_huber_loss
2,udacity_change_loss_function_mutated0_MP_kullback_leibler_divergence
3,udacity_change_activation_function_mutated0_MP_sigmoid_4
4,udacity_change_loss_function_mutated0_MP_squared_hinge
5,udacity_change_loss_function_mutated0_MP_categorical_hinge
6,udacity_change_loss_function_mutated0_MP_hinge
7,udacity_change_loss_function_mutated0_MP_mean_squared_logarithmic_error
8,udacity_change_loss_function_mutated0_MP_binary_crossentropy
9,udacity_change_optimisation_function_mutated0_MP_sgd
