,mutation,Mean(LP),Std(Speed),Std(SA),Max(LP),Max(Acc),Max(SA),Mean(SA),Mean(SAS),Std(SAS),Mean(LS),Std(LS),Min(LP),Std(LP),Max(Speed),Mean(Acc),Min(Acc),Std(Acc),Mean(TPP),Std(TPP)
0,udacity_add_weights_regularisation_mutated0_MP_l1_l2_3,"('killed: True', 'Sector number: 20', ' p_value: 0.0', ' effect_size: -1.5492468348013793')",Not killed by this metric,"('killed: True', 'Sector number: 20', ' p_value: 0.04', ' effect_size: -0.6507709816756678')","('killed: True', 'Sector number: 10', ' p_value: 0.016', ' effect_size: -0.7625217432144703')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 1.346994464042469')","('killed: True', 'Sector number: 26', ' p_value: 0.036', ' effect_size: -0.663344926681919')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.036', ' effect_size: 0.6644637964671959')",Not killed by this metric,"('killed: True', 'Sector number: 16', ' p_value: 0.045', ' effect_size: -0.6339227820576028')","('killed: True', 'Sector number: 14', ' p_value: 0.0', ' effect_size: -1.4675064104155056')","('killed: True', 'Sector number: 3', ' p_value: 0.009', ' effect_size: -0.8205674879022967')","('killed: True', 'Sector number: 10', ' p_value: 0.011', ' effect_size: -0.8070583009782875')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.023', ' effect_size: 0.7189985198611769')","('killed: True', 'Sector number: 20', ' p_value: 0.034', ' effect_size: 0.6689829302829899')","('killed: True', 'Sector number: 20', ' p_value: 0.04', ' effect_size: -0.6499784650060602')",Not killed by this metric,"('killed: True', 'Sector number: 20', ' p_value: 0.023', ' effect_size: -0.7164064995662466')"
1,udacity_change_epochs_mutated0_MP_50_47,"('killed: True', 'Sector number: 24', ' p_value: 0.036', ' effect_size: -0.6647954870217458')","('killed: True', 'Sector number: 2', ' p_value: 0.011', ' effect_size: 0.800460248168794')","('killed: True', 'Sector number: 2', ' p_value: 0.013', ' effect_size: -0.7821672937510369')","('killed: True', 'Sector number: 24', ' p_value: 0.029', ' effect_size: -0.6904798225497182')","('killed: True', 'Sector number: 2', ' p_value: 0.0', ' effect_size: 1.7478688168822007')",Not killed by this metric,"('killed: True', 'Sector number: 1', ' p_value: 0.015', ' effect_size: -0.7702193270741768')","('killed: True', 'Sector number: 3', ' p_value: 0.022', ' effect_size: 0.7253157306698641')",Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 12', ' p_value: 0.031', ' effect_size: -0.6815625373829483')","('killed: True', 'Sector number: 3', ' p_value: 0.034', ' effect_size: -0.6699262198339854')","('killed: True', 'Sector number: 0', ' p_value: 0.019', ' effect_size: -0.7431310537169272')","('killed: True', 'Sector number: 2', ' p_value: 0.023', ' effect_size: 0.720753799064585')","('killed: True', 'Sector number: 2', ' p_value: 0.0', ' effect_size: 1.3448187606175261')",Not killed by this metric,"('killed: True', 'Sector number: 3', ' p_value: 0.0', ' effect_size: -1.1545409261477555')","('killed: True', 'Sector number: 2', ' p_value: 0.013', ' effect_size: 0.7812535316434922')",Not killed by this metric
2,udacity_change_weights_initialisation_mutated0_MP_lecun_normal_3,"('killed: True', 'Sector number: 12', ' p_value: 0.031', ' effect_size: -0.683243867999626')",Not killed by this metric,"('killed: True', 'Sector number: 2', ' p_value: 0.012', ' effect_size: -0.7956236257113336')","('killed: True', 'Sector number: 10', ' p_value: 0.037', ' effect_size: -0.65795162306245')","('killed: True', 'Sector number: 0', ' p_value: 0.004', ' effect_size: 0.9173944022855337')","('killed: True', 'Sector number: 26', ' p_value: 0.005', ' effect_size: -0.8852555300173174')",Not killed by this metric,"('killed: True', 'Sector number: 5', ' p_value: 0.014', ' effect_size: 0.77465084602676')","('killed: True', 'Sector number: 1', ' p_value: 0.027', ' effect_size: -0.6992342615339163')",Not killed by this metric,"('killed: True', 'Sector number: 3', ' p_value: 0.001', ' effect_size: -1.0825991419495764')","('killed: True', 'Sector number: 13', ' p_value: 0.018', ' effect_size: -0.7466492063522211')","('killed: True', 'Sector number: 10', ' p_value: 0.025', ' effect_size: -0.7065256474332561')","('killed: True', 'Sector number: 2', ' p_value: 0.041', ' effect_size: 0.6457551266028992')","('killed: True', 'Sector number: 2', ' p_value: 0.041', ' effect_size: 0.647493400560146')",Not killed by this metric,"('killed: True', 'Sector number: 3', ' p_value: 0.0', ' effect_size: -1.124723508455794')",Not killed by this metric,"('killed: True', 'Sector number: 15', ' p_value: 0.004', ' effect_size: -0.907725318896211')"
3,udacity_change_weights_initialisation_mutated0_MP_ones_4,"('killed: True', 'Sector number: 0', ' p_value: 0.025', ' effect_size: -0.708203875200772')","('killed: True', 'Sector number: 2', ' p_value: 0.019', ' effect_size: 0.741962140750744')","('killed: True', 'Sector number: 15', ' p_value: 0.007', ' effect_size: -0.8585216179646517')","('killed: True', 'Sector number: 0', ' p_value: 0.033', ' effect_size: -0.6745579900513238')",Not killed by this metric,"('killed: True', 'Sector number: 16', ' p_value: 0.002', ' effect_size: -0.9766798660889766')","('killed: True', 'Sector number: 0', ' p_value: 0.009', ' effect_size: -0.8311045728462043')","('killed: True', 'Sector number: 24', ' p_value: 0.032', ' effect_size: 0.6796405050235461')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.005', ' effect_size: -0.8865534230276172')","('killed: True', 'Sector number: 14', ' p_value: 0.0', ' effect_size: -1.3079129166847987')","('killed: True', 'Sector number: 1', ' p_value: 0.013', ' effect_size: -0.788420196350293')","('killed: True', 'Sector number: 15', ' p_value: 0.001', ' effect_size: -1.0487050952348025')","('killed: True', 'Sector number: 16', ' p_value: 0.005', ' effect_size: 0.8885247814936854')","('killed: True', 'Sector number: 2', ' p_value: 0.045', ' effect_size: 0.6340129940126907')","('killed: True', 'Sector number: 15', ' p_value: 0.027', ' effect_size: 0.7009421070802366')","('killed: True', 'Sector number: 15', ' p_value: 0.021', ' effect_size: -0.7314190395079653')","('killed: True', 'Sector number: 9', ' p_value: 0.041', ' effect_size: 0.6452840446808481')","('killed: True', 'Sector number: 15', ' p_value: 0.002', ' effect_size: -0.9626961939113141')"
4,udacity_remove_activation_function_mutated0_MP_4,"('killed: True', 'Sector number: 12', ' p_value: 0.049', ' effect_size: -0.6228541863386581')",Not killed by this metric,"('killed: True', 'Sector number: 2', ' p_value: 0.036', ' effect_size: -0.66376655092411')","('killed: True', 'Sector number: 16', ' p_value: 0.035', ' effect_size: -0.6657455610801559')","('killed: True', 'Sector number: 1', ' p_value: 0.007', ' effect_size: 0.8457899298932797')","('killed: True', 'Sector number: 15', ' p_value: 0.01', ' effect_size: -0.8159518611224298')",Not killed by this metric,"('killed: True', 'Sector number: 5', ' p_value: 0.028', ' effect_size: 0.6930295590637141')",Not killed by this metric,"('killed: True', 'Sector number: 16', ' p_value: 0.009', ' effect_size: -0.8248569462832624')","('killed: True', 'Sector number: 3', ' p_value: 0.001', ' effect_size: -1.019361870700035')",Not killed by this metric,"('killed: True', 'Sector number: 16', ' p_value: 0.01', ' effect_size: -0.8130718985391603')","('killed: True', 'Sector number: 2', ' p_value: 0.024', ' effect_size: 0.7153161243632175')","('killed: True', 'Sector number: 2', ' p_value: 0.005', ' effect_size: 0.881408034454143')",Not killed by this metric,"('killed: True', 'Sector number: 3', ' p_value: 0.0', ' effect_size: -1.4558178943819136')","('killed: True', 'Sector number: 9', ' p_value: 0.021', ' effect_size: 0.7272275061973293')","('killed: True', 'Sector number: 3', ' p_value: 0.016', ' effect_size: -0.760668192724161')"
5,udacity_change_activation_function_mutated0_MP_selu_4,Not killed by this metric,"('killed: True', 'Sector number: 1', ' p_value: 0.006', ' effect_size: 0.8702303199765876')",Not killed by this metric,"('killed: True', 'Sector number: 26', ' p_value: 0.034', ' effect_size: -0.6709575489531636')","('killed: True', 'Sector number: 1', ' p_value: 0.019', ' effect_size: 0.743692429306245')","('killed: True', 'Sector number: 0', ' p_value: 0.029', ' effect_size: -0.6889282009749945')","('killed: True', 'Sector number: 17', ' p_value: 0.036', ' effect_size: -0.6618303117465058')","('killed: True', 'Sector number: 9', ' p_value: 0.034', ' effect_size: 0.6692658559169113')","('killed: True', 'Sector number: 19', ' p_value: 0.038', ' effect_size: -0.6546006593387672')",Not killed by this metric,"('killed: True', 'Sector number: 14', ' p_value: 0.0', ' effect_size: -1.3787742545632953')",Not killed by this metric,"('killed: True', 'Sector number: 14', ' p_value: 0.029', ' effect_size: -0.6908090499250924')",Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 24', ' p_value: 0.013', ' effect_size: 0.7814530131049028')",Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 25', ' p_value: 0.048', ' effect_size: -0.6256269970575257')"
6,udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6,Not killed by this metric,"('killed: True', 'Sector number: 1', ' p_value: 0.016', ' effect_size: 0.7621461356811258')","('killed: True', 'Sector number: 2', ' p_value: 0.011', ' effect_size: -0.8029151436436275')","('killed: True', 'Sector number: 22', ' p_value: 0.029', ' effect_size: -0.6904102456891872')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 2.6315168714695356')","('killed: True', 'Sector number: 3', ' p_value: 0.045', ' effect_size: -0.634105926533953')","('killed: True', 'Sector number: 3', ' p_value: 0.021', ' effect_size: -0.7281718322451324')","('killed: True', 'Sector number: 3', ' p_value: 0.015', ' effect_size: 0.7681755978184704')",Not killed by this metric,"('killed: True', 'Sector number: 26', ' p_value: 0.005', ' effect_size: -0.8819436444821787')","('killed: True', 'Sector number: 15', ' p_value: 0.009', ' effect_size: -0.8203506682386035')","('killed: True', 'Sector number: 24', ' p_value: 0.031', ' effect_size: -0.6826104329704572')","('killed: True', 'Sector number: 11', ' p_value: 0.025', ' effect_size: -0.7073056840337119')","('killed: True', 'Sector number: 3', ' p_value: 0.046', ' effect_size: 0.6323910909252661')","('killed: True', 'Sector number: 0', ' p_value: 0.001', ' effect_size: 1.0484546662461882')","('killed: True', 'Sector number: 11', ' p_value: 0.042', ' effect_size: 0.6443391733826188')","('killed: True', 'Sector number: 3', ' p_value: 0.044', ' effect_size: -0.6381623306952633')","('killed: True', 'Sector number: 2', ' p_value: 0.011', ' effect_size: 0.8017922782737016')","('killed: True', 'Sector number: 2', ' p_value: 0.036', ' effect_size: -0.6637839376711323')"
7,udacity_change_weights_initialisation_mutated0_MP_he_uniform_3,Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 2', ' p_value: 0.008', ' effect_size: -0.8324852541358694')","('killed: True', 'Sector number: 0', ' p_value: 0.046', ' effect_size: -0.6302738375366248')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 2.505049817096351')","('killed: True', 'Sector number: 0', ' p_value: 0.035', ' effect_size: -0.6668528857498477')","('killed: True', 'Sector number: 14', ' p_value: 0.009', ' effect_size: -0.8203844725557194')","('killed: True', 'Sector number: 13', ' p_value: 0.018', ' effect_size: 0.7454042002175618')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.041', ' effect_size: -0.6466771071741317')","('killed: True', 'Sector number: 15', ' p_value: 0.0', ' effect_size: -1.2538623906028332')","('killed: True', 'Sector number: 1', ' p_value: 0.034', ' effect_size: -0.6697288371094535')","('killed: True', 'Sector number: 0', ' p_value: 0.038', ' effect_size: -0.6556268035333817')","('killed: True', 'Sector number: 23', ' p_value: 0.015', ' effect_size: 0.769252229721178')","('killed: True', 'Sector number: 0', ' p_value: 0.005', ' effect_size: 0.8902735810645837')","('killed: True', 'Sector number: 24', ' p_value: 0.009', ' effect_size: 0.8283951561293915')","('killed: True', 'Sector number: 3', ' p_value: 0.013', ' effect_size: -0.7835509079179719')","('killed: True', 'Sector number: 9', ' p_value: 0.0', ' effect_size: 1.3730005314659737')","('killed: True', 'Sector number: 15', ' p_value: 0.021', ' effect_size: -0.7326352608504739')"
8,udacity_make_output_classes_overlap_mutated0_MP_3.12,Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 2', ' p_value: 0.044', ' effect_size: -0.6381157383043199')",Not killed by this metric,"('killed: True', 'Sector number: 2', ' p_value: 0.0', ' effect_size: 1.1108651468538544')","('killed: True', 'Sector number: 16', ' p_value: 0.044', ' effect_size: -0.6358315336549022')",Not killed by this metric,"('killed: True', 'Sector number: 9', ' p_value: 0.003', ' effect_size: 0.9254548560308532')","('killed: True', 'Sector number: 5', ' p_value: 0.042', ' effect_size: -0.6441778252558251')","('killed: True', 'Sector number: 3', ' p_value: 0.023', ' effect_size: -0.7191396033477243')","('killed: True', 'Sector number: 3', ' p_value: 0.003', ' effect_size: -0.9451515060948473')",Not killed by this metric,"('killed: True', 'Sector number: 10', ' p_value: 0.049', ' effect_size: -0.6233945139250698')",Not killed by this metric,"('killed: True', 'Sector number: 13', ' p_value: 0.013', ' effect_size: 0.7819310665206746')",Not killed by this metric,"('killed: True', 'Sector number: 3', ' p_value: 0.001', ' effect_size: -1.0989880141266832')",Not killed by this metric,Not killed by this metric
9,udacity_add_weights_regularisation_mutated0_MP_l2_3,Not killed by this metric,Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 23', ' p_value: 0.027', ' effect_size: -0.7012592528556812')","('killed: True', 'Sector number: 0', ' p_value: 0.034', ' effect_size: 0.6689008832731742')",Not killed by this metric,Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 19', ' p_value: 0.044', ' effect_size: -0.637183635018216')",Not killed by this metric,"('killed: True', 'Sector number: 14', ' p_value: 0.001', ' effect_size: -1.047444741360649')",Not killed by this metric,"('killed: True', 'Sector number: 26', ' p_value: 0.04', ' effect_size: -0.6505423107286156')","('killed: True', 'Sector number: 3', ' p_value: 0.015', ' effect_size: 0.7695590150300831')",Not killed by this metric,Not killed by this metric,Not killed by this metric,Not killed by this metric,Not killed by this metric
