,mutation,Mean(LP),Std(Speed),Std(SA),Max(LP),Max(Acc),Max(SA),Mean(SA),Mean(SAS),Std(SAS),Mean(LS),Std(LS),Min(LP),Std(LP),Max(Speed),Mean(Acc),Min(Acc),Std(Acc),Mean(TPP),Std(TPP)
0,udacity_add_weights_regularisation_mutated0_MP_l1_3,"('killed: True', 'Sector number: 15', ' p_value: 0.033', ' effect_size: -0.6736344385129982')","('killed: True', 'Sector number: 5', ' p_value: 0.035', ' effect_size: 0.6683997591668888')",Not killed by this metric,"('killed: True', 'Sector number: 10', ' p_value: 0.026', ' effect_size: -0.703690342432435')","('killed: True', 'Sector number: 0', ' p_value: 0.004', ' effect_size: 0.9192807966820351')",Not killed by this metric,"('killed: True', 'Sector number: 7', ' p_value: 0.024', ' effect_size: -0.7156580579144621')","('killed: True', 'Sector number: 3', ' p_value: 0.013', ' effect_size: 0.7840454509980505')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.048', ' effect_size: -0.6248857798660652')","('killed: True', 'Sector number: 14', ' p_value: 0.002', ' effect_size: -0.9627426006685005')","('killed: True', 'Sector number: 13', ' p_value: 0.019', ' effect_size: -0.7430350590691734')","('killed: True', 'Sector number: 10', ' p_value: 0.015', ' effect_size: -0.7678403086565818')",Not killed by this metric,Not killed by this metric,Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 15', ' p_value: 0.025', ' effect_size: 0.708263567220224')",Not killed by this metric
1,udacity_change_activation_function_mutated0_MP_exponential_4,"('killed: True', 'Sector number: 10', ' p_value: 0.011', ' effect_size: -0.8086449978171637')",Not killed by this metric,"('killed: True', 'Sector number: 2', ' p_value: 0.004', ' effect_size: -0.9069362874192146')","('killed: True', 'Sector number: 10', ' p_value: 0.007', ' effect_size: -0.8548583882064615')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 1.2756997601365636')","('killed: True', 'Sector number: 2', ' p_value: 0.031', ' effect_size: -0.6825887374043978')",Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 26', ' p_value: 0.021', ' effect_size: -0.7292592012962624')",Not killed by this metric,"('killed: True', 'Sector number: 14', ' p_value: 0.007', ' effect_size: -0.8516669844843666')","('killed: True', 'Sector number: 13', ' p_value: 0.038', ' effect_size: -0.65768693320643')","('killed: True', 'Sector number: 10', ' p_value: 0.003', ' effect_size: -0.9285815150747921')","('killed: True', 'Sector number: 2', ' p_value: 0.029', ' effect_size: 0.6890157403416026')","('killed: True', 'Sector number: 15', ' p_value: 0.003', ' effect_size: 0.9310096517851365')",Not killed by this metric,"('killed: True', 'Sector number: 3', ' p_value: 0.019', ' effect_size: -0.744488287922426')",Not killed by this metric,"('killed: True', 'Sector number: 15', ' p_value: 0.015', ' effect_size: -0.7727291516429037')"
2,udacity_change_activation_function_mutated0_MP_hard_sigmoid_4,"('killed: True', 'Sector number: 12', ' p_value: 0.045', ' effect_size: -0.6331756827151479')",Not killed by this metric,"('killed: True', 'Sector number: 2', ' p_value: 0.027', ' effect_size: -0.7009615167458941')","('killed: True', 'Sector number: 11', ' p_value: 0.002', ' effect_size: -0.9961000235074138')","('killed: True', 'Sector number: 0', ' p_value: 0.015', ' effect_size: 0.7712450586653421')","('killed: True', 'Sector number: 0', ' p_value: 0.008', ' effect_size: -0.8383827275218675')","('killed: True', 'Sector number: 14', ' p_value: 0.034', ' effect_size: -0.6710282484962498')",Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 20', ' p_value: 0.032', ' effect_size: -0.6790006204918824')","('killed: True', 'Sector number: 12', ' p_value: 0.018', ' effect_size: -0.7452617123763643')",Not killed by this metric,"('killed: True', 'Sector number: 11', ' p_value: 0.006', ' effect_size: -0.8714738444238855')","('killed: True', 'Sector number: 17', ' p_value: 0.042', ' effect_size: 0.6438781315646107')",Not killed by this metric,"('killed: True', 'Sector number: 15', ' p_value: 0.028', ' effect_size: 0.6964010353922248')","('killed: True', 'Sector number: 3', ' p_value: 0.014', ' effect_size: -0.7754619658556495')","('killed: True', 'Sector number: 13', ' p_value: 0.027', ' effect_size: 0.7002295354876578')","('killed: True', 'Sector number: 13', ' p_value: 0.032', ' effect_size: -0.6774379892530856')"
3,udacity_change_activation_function_mutated0_MP_relu_4,"('killed: True', 'Sector number: 12', ' p_value: 0.032', ' effect_size: -0.676761652939133')","('killed: True', 'Sector number: 2', ' p_value: 0.042', ' effect_size: 0.6425586801479437')","('killed: True', 'Sector number: 2', ' p_value: 0.01', ' effect_size: -0.8148811458950751')","('killed: True', 'Sector number: 10', ' p_value: 0.029', ' effect_size: -0.6916094093371413')","('killed: True', 'Sector number: 2', ' p_value: 0.0', ' effect_size: 1.3416061570137756')",Not killed by this metric,"('killed: True', 'Sector number: 7', ' p_value: 0.012', ' effect_size: -0.7949820730738206')",Not killed by this metric,Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 14', ' p_value: 0.0', ' effect_size: -1.131250038612028')","('killed: True', 'Sector number: 3', ' p_value: 0.015', ' effect_size: -0.7699070135040662')","('killed: True', 'Sector number: 10', ' p_value: 0.005', ' effect_size: -0.8839246601009844')","('killed: True', 'Sector number: 3', ' p_value: 0.009', ' effect_size: 0.8276855371569868')","('killed: True', 'Sector number: 2', ' p_value: 0.004', ' effect_size: 0.9092981587084961')","('killed: True', 'Sector number: 20', ' p_value: 0.012', ' effect_size: 0.7977404972676898')","('killed: True', 'Sector number: 3', ' p_value: 0.048', ' effect_size: -0.6255071816465047')",Not killed by this metric,"('killed: True', 'Sector number: 15', ' p_value: 0.033', ' effect_size: -0.6738465222422562')"
4,udacity_change_activation_function_mutated0_MP_softsign_4,"('killed: True', 'Sector number: 19', ' p_value: 0.01', ' effect_size: -0.8170995914125408')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.023', ' effect_size: -0.7201809271347349')","('killed: True', 'Sector number: 10', ' p_value: 0.026', ' effect_size: -0.705325034478532')","('killed: True', 'Sector number: 0', ' p_value: 0.001', ' effect_size: 1.065342401851481')",Not killed by this metric,"('killed: True', 'Sector number: 6', ' p_value: 0.048', ' effect_size: -0.6261073505177637')","('killed: True', 'Sector number: 3', ' p_value: 0.019', ' effect_size: 0.7396082675814533')","('killed: True', 'Sector number: 2', ' p_value: 0.007', ' effect_size: -0.8507981967054207')",Not killed by this metric,"('killed: True', 'Sector number: 15', ' p_value: 0.038', ' effect_size: -0.6544630188305777')","('killed: True', 'Sector number: 13', ' p_value: 0.022', ' effect_size: -0.7247160250484435')","('killed: True', 'Sector number: 10', ' p_value: 0.015', ' effect_size: -0.767967786724759')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.019', ' effect_size: 0.7438528369142079')","('killed: True', 'Sector number: 4', ' p_value: 0.039', ' effect_size: 0.6541904486361475')","('killed: True', 'Sector number: 3', ' p_value: 0.021', ' effect_size: -0.7286057123018156')","('killed: True', 'Sector number: 15', ' p_value: 0.011', ' effect_size: 0.8011625526172614')","('killed: True', 'Sector number: 15', ' p_value: 0.028', ' effect_size: -0.6932603796548229')"
5,udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6,"('killed: True', 'Sector number: 17', ' p_value: 0.022', ' effect_size: -0.7225003151143707')","('killed: True', 'Sector number: 2', ' p_value: 0.001', ' effect_size: 1.0578506285389646')","('killed: True', 'Sector number: 2', ' p_value: 0.0', ' effect_size: -1.1270065342817022')","('killed: True', 'Sector number: 10', ' p_value: 0.028', ' effect_size: -0.695494964055182')","('killed: True', 'Sector number: 0', ' p_value: 0.003', ' effect_size: 0.9245458341777472')","('killed: True', 'Sector number: 13', ' p_value: 0.036', ' effect_size: -0.6622492151826685')","('killed: True', 'Sector number: 1', ' p_value: 0.022', ' effect_size: -0.722110164480621')","('killed: True', 'Sector number: 3', ' p_value: 0.002', ' effect_size: 0.9973612964470138')",Not killed by this metric,"('killed: True', 'Sector number: 16', ' p_value: 0.012', ' effect_size: -0.7965105840689866')","('killed: True', 'Sector number: 6', ' p_value: 0.043', ' effect_size: -0.6396895017583433')","('killed: True', 'Sector number: 10', ' p_value: 0.032', ' effect_size: -0.6785394221163863')","('killed: True', 'Sector number: 11', ' p_value: 0.032', ' effect_size: -0.6772185574852988')","('killed: True', 'Sector number: 2', ' p_value: 0.013', ' effect_size: 0.7865528048225392')","('killed: True', 'Sector number: 2', ' p_value: 0.001', ' effect_size: 1.0372414895054964')","('killed: True', 'Sector number: 15', ' p_value: 0.023', ' effect_size: 0.7170138946655765')","('killed: True', 'Sector number: 3', ' p_value: 0.0', ' effect_size: -1.1695201457440445')","('killed: True', 'Sector number: 2', ' p_value: 0.001', ' effect_size: 1.0350091803915993')","('killed: True', 'Sector number: 2', ' p_value: 0.027', ' effect_size: -0.7010838453161471')"
6,udacity_change_epochs_mutated0_MP_50_14,"('killed: True', 'Sector number: 3', ' p_value: 0.045', ' effect_size: -0.6350095942370346')","('killed: True', 'Sector number: 6', ' p_value: 0.012', ' effect_size: 0.7974035584039189')","('killed: True', 'Sector number: 16', ' p_value: 0.002', ' effect_size: -0.9645824272412806')","('killed: True', 'Sector number: 0', ' p_value: 0.043', ' effect_size: -0.6394931315815395')","('killed: True', 'Sector number: 0', ' p_value: 0.024', ' effect_size: 0.7154012056688798')","('killed: True', 'Sector number: 16', ' p_value: 0.001', ' effect_size: -1.0725162968209807')","('killed: True', 'Sector number: 6', ' p_value: 0.008', ' effect_size: -0.8454323722596812')","('killed: True', 'Sector number: 0', ' p_value: 0.001', ' effect_size: 1.0699931631343476')","('killed: True', 'Sector number: 16', ' p_value: 0.006', ' effect_size: -0.8651668387383559')","('killed: True', 'Sector number: 0', ' p_value: 0.009', ' effect_size: -0.8213719868743269')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.018', ' effect_size: -0.7481689669871697')","('killed: True', 'Sector number: 4', ' p_value: 0.005', ' effect_size: -0.8889905966517405')","('killed: True', 'Sector number: 6', ' p_value: 0.0', ' effect_size: 1.1649647450628229')","('killed: True', 'Sector number: 9', ' p_value: 0.042', ' effect_size: 0.6439889218678333')","('killed: True', 'Sector number: 16', ' p_value: 0.0', ' effect_size: 1.269088427608972')","('killed: True', 'Sector number: 3', ' p_value: 0.009', ' effect_size: -0.8272957937109291')","('killed: True', 'Sector number: 5', ' p_value: 0.04', ' effect_size: 0.6483022015624718')","('killed: True', 'Sector number: 0', ' p_value: 0.038', ' effect_size: -0.6561267228538152')"
7,udacity_change_epochs_mutated0_MP_50_20,"('killed: True', 'Sector number: 7', ' p_value: 0.041', ' effect_size: -0.6476176810858284')","('killed: True', 'Sector number: 6', ' p_value: 0.019', ' effect_size: 0.7425312939749771')","('killed: True', 'Sector number: 16', ' p_value: 0.006', ' effect_size: -0.8699775845919738')","('killed: True', 'Sector number: 15', ' p_value: 0.001', ' effect_size: -1.0740941358662532')","('killed: True', 'Sector number: 0', ' p_value: 0.013', ' effect_size: 0.7827638693989678')","('killed: True', 'Sector number: 16', ' p_value: 0.024', ' effect_size: -0.7127011780112917')","('killed: True', 'Sector number: 6', ' p_value: 0.035', ' effect_size: -0.6662228569737118')","('killed: True', 'Sector number: 9', ' p_value: 0.001', ' effect_size: 1.0735269298730685')",Not killed by this metric,"('killed: True', 'Sector number: 4', ' p_value: 0.029', ' effect_size: -0.6893518806591056')","('killed: True', 'Sector number: 20', ' p_value: 0.001', ' effect_size: -1.03257323000411')","('killed: True', 'Sector number: 3', ' p_value: 0.035', ' effect_size: -0.6681046739945482')","('killed: True', 'Sector number: 11', ' p_value: 0.036', ' effect_size: -0.6634118164558791')","('killed: True', 'Sector number: 6', ' p_value: 0.0', ' effect_size: 1.3232817497198062')","('killed: True', 'Sector number: 2', ' p_value: 0.001', ' effect_size: 1.0177164921282205')","('killed: True', 'Sector number: 24', ' p_value: 0.002', ' effect_size: 0.9945050180847801')","('killed: True', 'Sector number: 3', ' p_value: 0.002', ' effect_size: -1.0032394067495194')","('killed: True', 'Sector number: 5', ' p_value: 0.044', ' effect_size: 0.6359611726001937')","('killed: True', 'Sector number: 15', ' p_value: 0.039', ' effect_size: -0.6538563008636014')"
8,udacity_change_epochs_mutated0_MP_50_23,"('killed: True', 'Sector number: 15', ' p_value: 0.007', ' effect_size: -0.8549738517748741')","('killed: True', 'Sector number: 4', ' p_value: 0.006', ' effect_size: 0.8730450388980896')","('killed: True', 'Sector number: 16', ' p_value: 0.014', ' effect_size: -0.775227673570133')","('killed: True', 'Sector number: 15', ' p_value: 0.03', ' effect_size: -0.6846536376193756')","('killed: True', 'Sector number: 0', ' p_value: 0.001', ' effect_size: 1.0356912979196844')","('killed: True', 'Sector number: 16', ' p_value: 0.034', ' effect_size: -0.669710385777582')","('killed: True', 'Sector number: 4', ' p_value: 0.013', ' effect_size: -0.7812017936653778')","('killed: True', 'Sector number: 0', ' p_value: 0.004', ' effect_size: 0.9110076217005714')",Not killed by this metric,"('killed: True', 'Sector number: 7', ' p_value: 0.001', ' effect_size: -1.0985452047862543')","('killed: True', 'Sector number: 14', ' p_value: 0.019', ' effect_size: -0.7437383487665679')","('killed: True', 'Sector number: 15', ' p_value: 0.019', ' effect_size: -0.7429244395140333')","('killed: True', 'Sector number: 14', ' p_value: 0.043', ' effect_size: -0.639249797587078')","('killed: True', 'Sector number: 6', ' p_value: 0.0', ' effect_size: 1.1064181279294942')","('killed: True', 'Sector number: 9', ' p_value: 0.039', ' effect_size: 0.652360638294326')","('killed: True', 'Sector number: 24', ' p_value: 0.008', ' effect_size: 0.8351987129795652')","('killed: True', 'Sector number: 3', ' p_value: 0.036', ' effect_size: -0.6638427803475159')","('killed: True', 'Sector number: 5', ' p_value: 0.006', ' effect_size: 0.861231379241078')","('killed: True', 'Sector number: 24', ' p_value: 0.007', ' effect_size: -0.8525375441937021')"
9,udacity_change_epochs_mutated0_MP_50_26,"('killed: True', 'Sector number: 15', ' p_value: 0.003', ' effect_size: -0.9506067147318641')","('killed: True', 'Sector number: 6', ' p_value: 0.009', ' effect_size: 0.8261660199212962')","('killed: True', 'Sector number: 24', ' p_value: 0.042', ' effect_size: -0.642680732876945')","('killed: True', 'Sector number: 15', ' p_value: 0.001', ' effect_size: -1.0125909857898117')","('killed: True', 'Sector number: 0', ' p_value: 0.003', ' effect_size: 0.9405684424420686')",Not killed by this metric,"('killed: True', 'Sector number: 8', ' p_value: 0.027', ' effect_size: -0.7002451272779713')","('killed: True', 'Sector number: 7', ' p_value: 0.029', ' effect_size: 0.6922261147517837')",Not killed by this metric,"('killed: True', 'Sector number: 7', ' p_value: 0.003', ' effect_size: -0.9457684568549273')","('killed: True', 'Sector number: 3', ' p_value: 0.031', ' effect_size: -0.6823716492941879')","('killed: True', 'Sector number: 19', ' p_value: 0.033', ' effect_size: -0.6752341188841036')","('killed: True', 'Sector number: 14', ' p_value: 0.001', ' effect_size: -1.0396281738099076')",Not killed by this metric,"('killed: True', 'Sector number: 13', ' p_value: 0.044', ' effect_size: 0.6380389595478498')","('killed: True', 'Sector number: 24', ' p_value: 0.024', ' effect_size: 0.7158082274934255')","('killed: True', 'Sector number: 3', ' p_value: 0.0', ' effect_size: -1.5556933982784527')","('killed: True', 'Sector number: 1', ' p_value: 0.048', ' effect_size: 0.6252285241892845')",Not killed by this metric
